Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2015-01-02,24.192604064941406,24.659506182275138,23.75446781268404,24.648441478964468,212818400
2015-01-05,23.511058807373047,24.042132473375155,23.325183952802462,23.962471339063004,257142000
2015-01-06,23.513273239135742,23.772171094232995,23.152584838795235,23.575231527032173,263188400
2015-01-07,23.84297752380371,23.942553088747736,23.610632287952324,23.721272554884127,160423600
2015-01-08,24.759082794189453,24.816616214984087,24.053197237023646,24.170477357014917,237458000
2015-01-09,24.78563690185547,25.060024333551862,24.387331204040734,24.931681198896364,214798000
2015-01-12,24.174901962280273,24.9228296715174,24.075326382352763,24.916191524620462,198603200
2015-01-13,24.389541625976562,24.960445829902344,24.099664655994744,24.65729087939062,268367600
2015-01-14,24.296602249145508,24.44928466294763,24.008936892193326,24.128428577931782,195826400
2015-01-15,23.63718605041504,24.354134491977135,23.601782043642775,24.340858200467093,240056000
2015-01-16,23.453523635864258,23.805360567456344,23.27871180910595,23.68365559685356,314053200
2015-01-20,24.0576229095459,24.11294304990514,23.56637979303794,23.862894935009866,199599600
2015-01-21,24.241283416748047,24.575415810890004,23.95804291228469,24.108513744434763,194303600
2015-01-22,24.871932983398438,24.88742255363768,24.278901069867082,24.398392763814055,215185600
2015-01-23,25.00027847290039,25.170663761693863,24.679420647171945,24.849807624202118,185859200
2015-01-26,25.02682876586914,25.305642719304203,24.960445616732773,25.168448176577243,222460000
2015-01-27,24.15056610107422,24.889644230457282,24.126225098450885,24.87636624560276,382274800
2015-01-28,25.5158634185791,26.13766300317951,25.5158634185791,26.02923430226332,585908400
2015-01-29,26.31025505065918,26.374426606206118,25.571177211115504,25.73935088467864,337745600
2015-01-30,25.925230026245117,26.55366597735562,25.856631907802715,26.19961743530487,334982000
2015-02-02,26.250507354736328,26.36999903755525,25.6862430443672,26.1221659368076,250956400
2015-02-03,26.254941940307617,26.352304250420058,26.024809927632663,26.22174951466699,207662800
2015-02-04,26.4563045501709,26.666522105734966,26.179703836194584,26.221747684954753,280598800
2015-02-05,26.6451358795166,26.70956070561401,26.49184916587451,26.662906901105913,168984800
2015-02-06,26.42075538635254,26.713998377671132,26.314120800918854,26.662902250403082,174826400
2015-02-09,26.59626579284668,26.622923176725912,26.309687051846403,26.336346130625422,155559200
2015-02-10,27.107213973999023,27.136095061304506,26.69400934269236,26.696229661023946,248034000
2015-02-11,27.742576599121094,27.75146295792522,27.213850962022807,27.27383176532612,294247200
2015-02-12,28.093578338623047,28.3201762363106,27.895861528916974,28.004716451194586,297898000
2015-02-13,28.2313175201416,28.27574762139696,27.913637380956622,28.27574762139696,217088800
2015-02-17,28.397924423217773,28.631186622082282,28.195763624881966,28.322391239862906,252609600
2015-02-18,28.595651626586914,28.60898031884703,28.313515211149024,28.353502982829205,179566800
2015-02-19,28.535663604736328,28.664513254672688,28.50900622536984,28.54232794957795,149449600
2015-02-20,28.7689266204834,28.7689266204834,28.446804181843213,28.57343012705251,195793600
2015-02-23,29.546463012695312,29.546463012695312,28.80446994307108,28.884445467268826,283896400
2015-02-24,29.362079620361328,29.679761449931537,29.139925727442076,29.53313906705298,276912400
2015-02-25,28.611194610595703,29.235449814940566,28.469016273438623,29.22656176210634,298846800
2015-02-26,28.973312377929688,29.073280958926343,28.12690652779856,28.611200421862183,365150000
2015-02-27,28.537887573242188,29.00663237357377,28.4890134507584,28.88000304082967,248059200
2015-03-02,28.677839279174805,28.94220289932046,28.502339231657224,28.713384708226034,192386800
2015-03-03,28.73781967163086,28.773365098090387,28.455683357530823,28.648959495280483,151265200
2015-03-04,28.555654525756836,28.78225240299768,28.506783797135036,28.680063529790168,126665200
2015-03-05,28.08247184753418,28.60231109584079,27.938071491371385,28.56454534427654,226068400
2015-03-06,28.12468147277832,28.740046987832674,28.049149965508676,28.52455744842278,291368400
2015-03-09,28.244640350341797,28.784475968478535,27.782559935616113,28.426806439526047,354114000
2015-03-10,27.660377502441406,28.26241425789635,27.502648465689692,28.08247017418936,275426400
2015-03-11,27.156089782714844,27.718138827229005,27.127210388514765,27.713696495390376,275756000
2015-03-12,27.647043228149414,27.74701346773055,27.020569500724587,27.17163417162344,193450800
2015-03-13,27.455991744995117,27.858091340207817,27.23161759122976,27.635937504472345,207309200
2015-03-16,27.75812530517578,27.75812530517578,27.296046544920685,27.520420732700014,143497200
2015-03-17,28.222434997558594,28.28463782573203,27.91364117562621,27.969179657195344,204092400
2015-03-18,28.54010581970215,28.69339252092788,28.073583066505737,28.213539383994842,261083600
2015-03-19,28.324617385864258,28.71338664410161,28.30240233865916,28.602309713176652,183238000
2015-03-20,27.96917152404785,28.52455448333958,27.80477814097911,28.491232760007673,274780400
2015-03-23,28.260189056396484,28.402367374748902,28.106902368369962,28.240196024862197,150838800
2015-03-24,28.14467430114746,28.44457999143216,28.115793213344112,28.26463759420105,131369200
2015-03-25,27.409343719482422,28.17355357044147,27.409343719482422,28.11135075836797,206620800
2015-03-26,27.600393295288086,27.742571620841588,27.236061124194826,27.271606553032868,190291600
2015-03-27,27.38046646118164,27.702588918059213,27.304934953461245,27.673709523030762,158184800
2015-03-30,28.073583602905273,28.080247947451227,27.547078350082643,27.558186720925512,188398800
2015-03-31,27.642608642578125,28.10024511430692,27.627057938050438,28.011383219191703,168362400
2015-04-01,27.60262107849121,27.79589557467753,27.347143763734493,27.729248729123714,162485600
2015-04-02,27.840322494506836,27.893638947918962,27.58928923541274,27.77589766980492,128880400
2015-04-06,28.29129409790039,28.32683952951182,27.62039017777961,27.651491582989873,148776000
2015-04-07,27.99361228942871,28.46235544029756,27.986947943880292,28.355722521723493,140049200
2015-04-08,27.902523040771484,28.080246797583147,27.76256672633937,27.95806150291271,149316800
2015-04-09,28.115793228149414,28.12023725469051,27.693702231319484,27.958064183930947,129936000
2015-04-10,28.235750198364258,28.26018725416947,27.826987982893712,27.980272966245597,160752000
2015-04-13,28.180217742919922,28.562324360961306,28.1269012893116,28.51789087563862,145460400
2015-04-14,28.058032989501953,28.2779648347118,27.971393120331427,28.213540012397917,102098400
2015-04-15,28.164669036865234,28.24242255699414,27.993611292581647,28.082473184828803,115881600
2015-04-16,28.02915382385254,28.235756994085587,28.0158251338051,28.05359088553921,113476000
2015-04-17,27.713699340820312,28.022493129747293,27.64927450569817,27.89142314080552,207828000
2015-04-20,28.346834182739258,28.46235345227572,27.80700019732746,27.8958620865322,188217200
2015-04-21,28.19355010986328,28.48012712747022,28.140231957606513,28.457913773045995,129740400
2015-04-22,28.57343101501465,28.6289694851199,28.062478106986084,28.211320800092256,150618000
2015-04-23,28.80669403076172,28.9733094454926,28.466798855894666,28.502344291255753,183083600
2015-04-24,28.94220542907715,29.019960638198242,28.70894319151285,28.9888592325096,178103600
2015-04-27,29.468704223632812,29.57534050279643,29.135473478292983,29.393172734907406,387816800
2015-04-28,29.004409790039062,29.888581275967137,28.784479620133364,29.870811948737703,475696000
2015-04-29,28.57787322998047,29.233226457714377,28.502341728977694,28.915548055956197,253544400
2015-04-30,27.80255699157715,28.577873518344195,27.675929354283394,28.577873518344195,332781600
2015-05-01,28.64674186706543,28.90888520558984,27.835881568938238,28.013603654255334,234050400
2015-05-04,28.591203689575195,29.00663375040625,28.49345543996789,28.768927471606737,203953200
2015-05-05,27.946956634521484,28.53566301536573,27.942512608119188,28.46901617852702,197085600
2015-05-06,27.771455764770508,28.1580030240195,27.40490154027082,28.115793246349376,288564000
2015-05-07,27.943227767944336,28.126154782564676,27.666605100388406,27.833916456516,175763600
2015-05-08,28.469701766967773,28.469701766967773,28.132847750663366,28.260004316794557,222201600
2015-05-11,28.179698944091797,28.45631995879066,28.025771924486897,28.418396453142314,168143200
2015-05-12,28.079307556152344,28.30461895496568,27.84507097887534,28.019074515376378,192640000
2015-05-13,28.110544204711914,28.37378085400866,28.079312882081744,28.141775527342084,138776800
2015-05-14,28.766399383544922,28.766399383544922,28.36708443215777,28.422854885946716,180814000
2015-05-15,28.72624969482422,28.88686889308668,28.601324408166477,28.79317492809337,152832000
2015-05-18,29.04301643371582,29.161249500528275,28.634776382587688,28.639238971134677,203531600
2015-05-19,29.016254425048828,29.196950157503426,28.920327470857302,29.154564066392645,178532800
2015-05-20,29.014015197753906,29.21925002288651,28.853396046961823,29.000630835847524,145819600
2015-05-21,29.31071662902832,29.364257484742,28.962709576784434,29.01625043249812,158921600
2015-05-22,29.5672607421875,29.66318768776386,29.312947622321087,29.357566706193726,182384000
2015-05-26,28.915863037109375,29.649804096047635,28.804322132440436,29.580649279786215,282790400
2015-05-27,29.45572280883789,29.50480108287714,29.011792153608145,29.076484385409774,183332800
2015-05-28,29.397727966308594,29.435651474972413,29.246033931653315,29.41557492402553,122933200
2015-05-29,29.0631046295166,29.32410999886731,28.97833243292166,29.27503171704488,203538000
2015-06-01,29.121097564697266,29.310718462078576,29.01178965788815,29.06309752034872,128451200
2015-06-02,28.991716384887695,29.147872986498268,28.848944148563945,28.96940684010392,134670400
2015-06-03,29.027402877807617,29.210331588659578,28.978324609235536,29.147868956651138,123934000
2015-06-04,28.857864379882812,29.13002447267988,28.757478241644847,28.906942652613985,153800400
2015-06-05,28.69947052001953,28.931477484587052,28.634778299566968,28.889091400447338,142507200
2015-06-08,28.509859085083008,28.824405288183716,28.293469433641413,28.75524706027214,210699200
2015-06-09,28.425081253051758,28.572316051296664,28.023535052525542,28.264462092049676,224301600
2015-06-10,28.750789642333984,28.85340538613573,28.521013909368506,28.536629570640002,156349200
2015-06-11,28.686092376708984,29.040791677792328,28.66155323867411,28.81770984255118,141563600
